Ident;Bezeichnung;Strasse;PLZ;Ort;Tel;Email;Lat;Lng;Image;Website;
1;Strebel-Hiltwein Optik;Europaplatz 2/1;72070;Tübingen;0 70 71 - 36 70 76;a.hoffman@strebel-hiltwein.de;485.236.164;90.535.531;images/members/Strebel_Hiltwein_Optik.webp;https://strebel-hiltwein.de;
2;Optik Arnold GmbH;Rheinstr. 16;76185;Karlsruhe-Mühlburg;07 21 - 55 21 79;info@arnold-optik.de;4.901.515.197.753.900;835.077.953.338.623;images/members/Optik_Arnold_GmbH.webp;https://arnold-optik.de;
3;Hepp & Hepp Optik-Photo GmbH;Marktstätte 9;78462;Konstanz;0 75 31 - 2 35 52;info@optik-hepp.de;47.659.216;91.750.718;images/members/Hepp_Hepp_Optik_Photo_GmbH.webp;https://optik-hepp.de;
4;Ebner Optik;Bismarckstr. 4;79761;Waldshut;0 77 51 - 33 30;info@ebner-optik.de;476.246.179;82.120.605;images/members/Ebner_Optik.webp;https://ebner-optik.de;
5;Bergermann Brille + Linse;Martinstorplatz 3;88239;Wangen;0 75 22 - 8 09 65;info@bergermann-optik.de;47.685.470;9.832.120;images/members/Bergermann_Brille_Linse.webp;https://bergermann-optik.de;
6;Stöhr & Oster Brillen-Hörsysteme-Vergrößernde Sehhilfen;Haldenstr. 11;88499;Riedlingen;0 73 71 - 75 95;kontakt@stoehr-oster.de;481.534.412;94.748.796;images/members/Stoehr_Oster_Brillen_Hoersysteme_Vergroessernde_Sehhilfen.webp;https://stoehr-oster.de;
7;Trio Optik GmbH;Sendlinger-Tor-Platz 7;80336;München;0 89 54 - 50 69 13;trio-service@trio-optik.de;481.371.079;115.753.822;images/members/Trio_Optik_GmbH.webp;https://triooptik.com/;triooptik.com/
9;Augenoptik Sommerfeld;Friedrichstr. 2;91054;Erlangen;0 91 31 - 2 38 83;info@euronet-server.com;495.981.187;11.003.645;images/members/Augenoptik_Sommerfeld.webp;https://augenoptik-sommerfeld.de/;
10;Optiker Junge;Bahnhofstraße 77;96231;Bad Staffelstein;0 95 73 - 55 20;info@optiker-junge.de;501.028.062;110.006.441;images/members/Optiker_Junge.webp;https://optiker-junge.de;
12;Optik Kühntopp;Windscheidtstr. 12;10627;Berlin;030 - 3 23 85 65;info@kuehntopp.de;52.507.785;13.298.828;images/members/Optik_Kuehntopp.webp;https://kuehntopp.de;
13;Brillen Marx;Tempelhofer Damm 186;12099;Berlin;0 30 - 7 52 20 43;info@brillen-marx.de;524.556.224;13.386.398;images/members/Brillen_Marx.webp;https://brillen-marx.de;
14;Schleicher Augenoptik GmbH;Drakestr. 31;12205;Berlin;0 30 - 8 33 48 04;lichterfelde@schleicher-optik.de;52.442.220;13.297.910;images/members/Schleicher_Augenoptik_GmbH.webp;https://schleicher-optik.de;
15;Augenoptik Hagemann;Oberfeldstr. 192;12683;Berlin;0 30 - 54 37 69 20;obf@augenoptik-hagemann.de;52.514.500;13.555.020;images/members/Augenoptik_Hagemann.webp;https://augenoptik-hagemann.de;
16;Müller Optik;Scharnweberstr. 53;13405;Berlin;0 30 - 4 12 27 53;mueller@optik53.de;52.512.230;13.470.320;images/members/Mueller_Optik.webp;https://optik53.de;
17;Meier Augenoptik GmbH;Seegefelder Str. 58;13583;Berlin;0 30 - 3 33 36 59;berlin@meier-augenoptik.de;52.537.330;13.189.020;images/members/Meier_Augenoptik_GmbH.webp;https://meier-augenoptik.de;
